String	Entity			
"see here ,stackoverflow.com/questions/7705081 , ""just looked into the JSON specification and from there it is written, that a value itself is not a valid JSON response (see ,json.org,)."""	JSON			
"My java is rusty so I might be way off base... but if map is a map of Integer's to Integer's, will your example even compile?"	Integer's			
"No, it won't compile.  The OP is confusing the compile time exception that would be thrown by the above example with a run time exception that is mentioned by the map API.  As To Affe has pointed out, the run time exception mentioned by the API should only be thrown if the new Map implementation has a special requirement that is not met (eg if the new Map requires a positive key and a negative key is specified)."	Map			
"did you get it working using ,github.com/neo4j/java-rest-binding,?"	github.com/neo4j/java-rest-binding			
"You are storing it, in ,statusCode"	statusCode			
"possible duplicate of ,Can you explain the HttpURLConnection connection process?"	HttpURLConnection			
"Thanks for the answer. Very informative. I was curious how eC achieves that, too. Failed to find an illustrative example in eC. PIMPL is known and it also helps with compilation (no need to recompile all the source files that include the header every time that you add/remove/modify a private field declaration) but, well, it introduces an indirection level."				
"Thank you for such fine answer. I am really sorry that I cannot select both as ""accepted"", but your suggestion is very, very good and I encourage upvoting this answer. The sole drawback is that you have to think at doing that beforehand."				
by default you'll get only 20 user list and after that cursor will break.				
"Don't works, changin' List for PagableResponseList gives me the restriction of 20 people I follow :/"	PagableResponseList			
i have updated the answer you can try this way now we have change the cursor value and now it will not stop at 20.	cursor			
"Don't works, Thanks. The rate limit avoids the cursor. I'm thinkin' about work with Paging but there's no way my friend Sanser, there's no way..."				
"That's strange.. This does seem like it's the right way to do it. I searched a bit further and found this: ,stackoverflow.com/questions/16618037 ,  In that post, the rate limit also gets hit after a certain number of friends/followers/whatever. When you look at the mentioned 'working' solution, it works the same way as my solution does, using recursion. (,gist.github.com/kent/451413,)"				
"How big is that friends list, actually? If I look at this page (,dev.twitter.com/rest/public/rate-limits,), it seems you can make a request 15 times before being limited. Per request, you get 20 friends, so a maximum of 300 friends can be retrieved.  How weird/stupid would it be to actually having to wait until that rate limit is over and query the next x friends, if you have over a 300 friends?  ,edit, It seems it is that stupid. Found another person having problems with it: ,stackoverflow.com/questions/16174820/rate-limit-twitter-api"				
"Yes but always I do the request, it will give the same 20 friends, because I start the java program at every request... so.."				
This limit is not updated or is not the limit that appears on my console	This			
"Sure that will work. Just implement "",Filter,"" from the servlet api and map it to your Spring dispatcher servlet. Or you might keep using a Spring controller (avoiding a filter) and write a rest client to connect to the foreign system. Id prefer the latter."				
"I tried to use controllers. But I have path with slashes, and it not working for it. For example user sent request "",myserver/api/email/1,"". I need to write in controller ""value = ""api/{path}"""". Path should be equal ""email/1"", but path cannot contain slash. I don't know how many slashes can send client inside httprequest"	controllers			
"Please take a look ,maven.apache.org/guides/getting-started, > Marking this Off-Topic. [Questions asking us to recommend or find a book, tool, software library, tutorial or other off-site resource are off-topic for Stack Overflow as they tend to attract opinionated answers and spam. Instead, describe the problem and what has been done so far to solve it.]"				
"Sorry but this is not Off-Topic, please remove the marking. I am looking for a very specific answer which I can not find elsewhere. Please explain to me what you didn't understand. I'm really looking for someone who can help me with my problem."				
"Please explain why. Add some details to the question, would retract if the question improves."	why			
Sounds to me like you're asking for a Jackson tutorial.				
"That would look like ,import com.fasterxml.jackson.core.JsonParser;,. This is really basic stuff, if you'll excuse my saying so."	com.fasterxml.jackson.core.JsonParser.This			
Thank you! the autocorrect for the import com.* is exactly what will hopefully help me out next time!	com.*			
"To sevku If you type out the class name in your code and hit ctrl + space, eclipse will suggest matches and automatically import the one you select."	ctrl			
"To icorederman how can I extract product details like products.get(0).name or products.get(0).get(""name"")"	products.get(0).name			
"To DaniyalJavaid products.get(0).get(""name"") should work, but you'll have to properly cast it, something like this ((List<Map<String, Object>>)products).get(0).get(""name"")"	it			
"To DaniyalJavaid you can do List<Map<String, Object>> products = wooCommerce.getAll(EndpointBaseType.PRODUCTS.getValue(), params); Object name = products.get(0).get(""name"");"	wooCommerce.getAll(EndpointBaseType.PRODUCTS.getValue()			
"But I've put additional parameters into url. And url - came in into signature, isn't it?"	url			
"I do not see extracting params from ,endpoint, in ,OAuthSignature,. And, as I said, based on string format for ,URL_SECURED_FORMAT, (specially on question mark as delimiter), it does not look like parameters are expected by lib in endpoint url,"	OAuthSignature			
"Hi, To Evgeny 's answer is correct, currently my library doesn't support any additional parameters. I'll try to find spare time to add this possibility soon. Thanks."				
"RestTemplate, maybe?"	maybe			
stackoverflow.com/questions/42365266	stackoverflow.com/questions/42365266			
"Please, do some google work, before asking any question to the community. For example, you can search for: ""spring perform post request"" in google and you definitely will find some great answer on SF."	request			
"google.com/search?q=spring+resttemplate, = 336.000 results"	google.com/searchq=spring+resttemplate			
"Possible duplicate of ,Call another rest api from my server in Spring-Boot"	rest			
I suggest to always add imports to solutions like these.	these			
"If you've run mvn package and got the artifact, then, assuming you're in the folder with the artifact, you can type ,java -jar myapp.jar, --spring.profiles.active=prod`. Of course you have to make sure that the spring-boot application is built correctly (with spring-boot-maven plugin). Instead of myapp.jar use the artifact full name."				
"Again, thanks for your reponse. I have the next problem when I use the command. ""Unable to access jarfile dairy-app-0.0.1-SNAPSHOT.jar"". Is it because it cannot find it? I really need help.."	command			
"after ,mvn package, succeeds You should go to ""target"" directory and there you'll see the artifact..."	package			
"I posted another post, maybe that is a is a little bit more clear: ,stackoverflow.com/questions/60205741 "				
Thanks your your reply. How could I run the project based on the configuration file?				
"You can use it as such: ,java -jar your_application.jar --spring.profiles.active=prod --spring.config.additional-location=config/application.properties,  This will use your ,/resources/application-prod.properties, and your external ,/config/application-prod.properties, (if you have any)"				
Would be long and costly if you have to print it out... :-) But good tip anyway.				
"SQL is definitely a programming language; markup languages are debatable.  It's irrelevant to the spirit of the question, though: if you're making web pages, you need HTML and CSS."	SQL			
"It doesn't matter.  The OP isn't claiming they are programming languages, just languages.  So you can quit your splitting hairs and focus on the question."				
"+1, but ,""If you using Java, stick with it."", I'd at least take a look at PHP. Java has a ,massive, set of libraries of things you can do with it, but PHP has a massive set of prebuilt applications you can tailor. (He says, not having yet made time to rea"				
"No, you are right, T.J.  PHP is a good server-side scripting language to get you up and running quickly."	T.J.PHP			
"There are, but I would argue that you should understand the ideas underlying the widgets before you begin producing things with a widget library.  HTML/CSS have enough wrinkles (thinking about browser-compatibility, here) that eventually you're going to hit something that the widget library does stupidly--and if you can't work with the HTML/CSS directly, you're dead in the water.  Understanding the DOM is also necessary for any kind of UI coding you need to do... and it's easier to just learn it than to fob it off on a secondary library."	widgets			
"I'm not disagreeing, just pointing out that there are abstractions to html and css"	css			
so would you recommend reading books on all these subjects or should I just use w3schools? If i start reading 20 pages a day + do code I can do 1 book in one month. Would this be a good ideea? I could even try to manage 40 pages.	w3schools			
"im not trying to make a facebook killer... maybe people misunderstood me. I am trying to make a web service that REVOLVES around facebook's users. I want to tightly integrate facebook in my website, as in fetching data, organising it, re-presenting it etc. for my purpose."	facebook's			
"I imagine ,java.util.jar, would cover Java, and there may be a similar abstraction for C++. Does that meet the requirements?"	java.util.jar			
"SQLite is not a bad idea either, once you get over having to use SQL. It's efficient and reistent to corruption, and can be accessed safely by concurrent processes (on the same machine)."				
a cross language solution will be more better.i think zip can meet my requirements				
"Also - look at this link:  ,stackoverflow.com/questions/1671462 "	stackoverflow.com/questions/1671462			
"Thanks for your answer.I have made some other attempts.and i doubt my Android plug-in for Eclipse installing is failed. So i tried again follow with your steps.but it's so sad,my SDK is failed to install all the time.I have already tried various SDK.In addition to SDK r16 & r15 is succcessful all is failed.and I want early SDK,such as r05.It show ""Failed to fetch URL https"".and I change it in ""setting"".but it show ""Failed to fetch URL http"".I don't know how to do. My god,I had already worked two whole days for this.Could you help me?Tell me it's why and how to do."	SDKsuch			
First of all remove all trails of Android from your PC... This includes SDK and other directories located under the SDK folder. After that take a Fresh Install and look at the edited question now...	SDK			
"Yeah,you are right.my Desktop Environment is Windows 7(64 bit).I had already attempted your method.However there are only Android SDK Tools revision 15  could be installed.I forgot to tell you the Android SDK i used is r05,and i install SDK r16 successful once.Because in the SDK r16 the adb.exe is in the platform-tools folder and it is not in tools folder.It will cause error when configure eclipse to point to the SDK.It is so difficulty.I will lose my hope soon."				
Congrats happy developing Android	Android			
"It reads ""an octet of data"" (octet = 8 bits) from the source .. in this case the data would be from an opened File as it is a RandomAccessFile implementation .. (the return type is an ,int, merely so it can return ,-1, on EOF, otherwise it will be ,[0, 256),)"	RandomAccessFile			
"+1,  i wasn't sure what does a byte means in terms of reading from a file; but the size of the byte is (8 bit) and range -128 to 127"				
"Yup.  In Java, a ,byte, is a signed value from -128 to 127.  Other languages have an unsigned version with a range of 0 to 255. In English, a ""byte"" is any 8-bit value, usually in memory or storage; such a value in the process of being transmitted is often called an ""octet"" instead. And in really old (pre-1980, at least) papers you can find ""byte"" used to refer to the native word size of a machine, no matter how many bits that is."	byte			
Brain fart on short vs. int. Fixed.	Fixed			
C++ has templates support for primitives as well.. but i guess java doesnt support templates..	C++			
You cannot use reflection to inspect or modify the contents of existing methods.	methods			
"To MarkoTopolnik - yes indeed he could, though that would be approaching ,Black Magic,."				
"Heh heh, then it's black magic that we needed to do on a massive scale in a serious corporate project :)"				
"yeah, this looks possible.  However, the amount of work involved seems greater than forking the GNU project (perhaps)."	GNU			
I went ahead and forked the GNU project -- or at least modified the source for my own purposes.	GNU			
thank you for your quick response. I was using another lib and I used the one you provided and it worked for me :)	lib			
"I want to ask another question, Can I get to users stream or Newsfeed on Google Plus? or the API only provide access to users own posts ?"	Plus			
"You should take a look at activities.list, ,developers.google.com/+/api/latest/activities/list,, for reading public activities data. Feel free to start another question too."	activities.list			
"I'm still looking for an simple example of using the google+ sign in. I don't need offline access, I don 't want to make API calls on behalf  of the user. All I want is to authentificate the user and get some simple properties of the user. Maybe I'm missing something, but OpenID was a lot more easy to implement."				
"To bert My go-to simplest demo, client-side-only, is ,wheresgus.com/signindemo,. Note: Google+ Sign-In works on top of OAuth 2.0 so if you're more comfortable with that, you can still authorize clients using OAuth."				
Can you try changing SMTP host to smtp.googlemail.com ?	smtp.googlemail.com			
"To ManojSolanki you're referring to this line of code: final String smtp_host = ""smtp.gmail.com""; I just changed it and it's still giving me the same error message"	String			
"its worked successfully for me, if this code is not working for you, check your jar files and its versions."	me			
"Thanks it did, I was also also able to get an attachment working as well, the only thing I'm left with is receiving the results after my jar file gets executed, do you possibly know if jar files has some sort of java methods for that?"	well			
"I am exact same issue with configuration do everything I know, at ,stackoverflow.com/questions/51871429 , please help."				
"""some call their APIs 'RESTful', just because they use JSON over HTTP. This is not REST!"" why this is not called Rest if you use json"	Rest			
"Just using JSON doesn't make the API Restful, as it should follow the REST architectural style to be called the same. And JSON is just a format for data transfer."	REST			
Please let me know what are the others points we should consider to make it Rest. As i studied(HTTP over JSON) and resources accessed via uri.	uri			
Are you restricted only to the standard JDK?	JDK			
"And is this over ssh based upon your comment about sshpass? IMHO, the best way to invoke a script on a remote machine is to use ,JSch,. We use JSch at work all the time. If writing from scratch, there are a lot of things to consider. So, again, are you limited only to the classes in the standard JDK, or can you use an external library?"	sshpass			
"oh, yes i can use an external library. Can you share some sample code for this?"				
will this example suffice. looked up jsch				
"My rule of thumb is never to return a null from my methods, but an empty object."				
To zuckerburg Does that mean you return an object in invalid state instead of null?				
"To Torben It means to create something like ,public static final Foo EMPTY = new Foo(), and let the method return ,FOO,."	Foo			
"To avoid Null checks and NPE Optional feature was introduced. Take a look at ,oracle.com/technetwork/articles/java "	oracle.com/technetwork/articles/java			
"To zuckerburg It sounds to me that you've taken the legitimate empty-list-instead-of-null practise and extended it to where it doesn't belong. Returning an empoty and invalid object instead of null still requires you to make the check. If you forget that check (which will necessarily be more complicated than ""== null"") you pass the invalid object to a method that doesn't allow nulls and the error is potentinally sent way further down the call stack (and made more obscure). I'd strongly advise against empty objects (other than collections)."	empty-list-instead-of-null			
"When you're not sure if something ,could, return null, then the API is broken and must be fixed so you're sure it can return null. Then... when you're sure it can return null you document it by returning an Optional instead of a direct, nullable, object reference."				
"I was not talking about in the case of not knowing what an API method could return, but rather, in the case of having possible values passed to a method that will return null. Consider having a List<X> containing 'null' at index 4, and you call list.get(4), returning a null value for data you might've expected to be non-null. In this case, you would require a null-check because you're not sure if the method will return null. It doesn't imply a broken method; it implies an unexpected error that should be accounted for. Using an Optional, or anything similar, would be effectively the same."	list.get(4)			
Seems like your SDK version is off.	SDK			
"DejanRistic is right. Just bear in mind that ,jsonObject.put(""xyz"", new JSONArray(Arrays.asList(floatArray))), will give you an array containing your e.g. float array (,{ ""xyz"": [[1.0, 2.0, 3.0]] },), while ,JSONArray arr = new JSONArray(); for (float value : floatArray) { arr.put(value); }; jsonObject.put(""xyz"", arr), would in turn provide you just with an array, as you'd expect (,{ ""xyz"": [1.0, 2.0, 3.0] },)."	JSONArray(Arrays.asList(floatArray)))			
"where can i see the level in which this was introduced (in the documentation)? (just found it, small on the right side of the grey method declaration)"	documentation)			
"If you look in the grey title bar with the method name in it, the API level it was added in is on the right-hand side :)"				
I just added an edit with an example of how to craft the token request to exchange your API's access token for a new access token to the Graph API.				
I really needed this answer. I have had horrible misconceptions about how some things were supposed to work!				
"this particular method returns true if a scan is started, i think it wont block  the thread, instead probably start a new thread in which the scan is preformed."				
"Yeah, I was hoping not to have to split on the time-stamp. Seems like this should be easier."				
The Questions seems to be asking for a total number of milliseconds in the entire span-of-time rather than just the fraction of a second seen in this Answer. But the Question is unclear and poorly phrased.				
To pzaenger it was one of the approaches we discussed	pzaenger			
"While mapping HTTP operations to simple CRUD operations might sound like a good idea, HTTP operations in genearal are to general to support such a mapping blindly. I.e. ,DELETE, only gurantees that the connection between the URL and the resource is removed but leaves the client clueless whether the server also removes the data belonging to the resource as well. A client in general is usually not interested in such internal decisions anyway as long as the resource state isn't retrievable any longer."	HTTP			
"Further, the spec leaves room for interpretation. DELETE i.e. only states that certain response codes should be returned if the operation actually removed something but not what should happen if i.e. the resource was not available at all. Here it is more or less individual preference. All a client wants is that a certain URI shouldn't return a resource's state after the invocation. A 404 tells the client the the resource didn't exist before while a 200 response informs a client that no representation for the requeted URI is available any further. ..."	i.e			
"... The effect, however, are pretty similar that invoking the URL doesn't return any resource's state further. It is therefore more or less an implementation detail not that important to clients"	URL			
"Oh, sure. But I can conclude that something was wrong within the Requested-URI"	Requested-URI			
"Well yes but ""something wrong with the requested URI"" is not something that necessarily caries ,business, meaning and your question ,was quite particularly, about ""should represent ,business, failures"".  You do want to distinguish ""business-level"" failures from the other ones."	business-level			
To CassioMazzochiMolin Thanks for the link. It seems that the preferred way will be your answer. Learned from that :-)				
Thanks for the link to the RFC	RFC			
"actually it is universal, it's called ,unix time,, every day is ,exactly, 86400 seconds with leap seconds getting ,repeated, to keep in line with UTC."				
"No, I agree that hacky solutions should be avoided in APIs. Thanks."	APIs			
It can be used in a concurrent setting---that's the point.	point			
"I would add that the ""concurrent"" package is a colleciton of utils for building concurrent applications.  the utils are all ""thread-safe"".  Some are more intrinsically ""concurrent"" than others."	concurrent			
"If you are willing invest some money in a tool, I'd claim your best option is to look at ,install4j,. I've plugged it in many answers already and don't want to repeat myself too much, so see e.g. ,stackoverflow.com/questions/80105 "	install4j			
"Also, take a look at some of these questions:  ,stackoverflow.com/questions/tagged/installer+java,  ...to get ideas on what options there are for distributing Java software."				
To Jonic Thanks for your link and i have already used install4j software. I have impressed because of that software only. I just want to develop a software little bit similar to install4j.	install4j			
To SjB I don't need any software name. I just need the concept to create it for my own.	SjB			
"Advanced Installer is just one option, and it definitely is ,not, the only option for producing native Windows installers for Java apps. To Samurai: umm, it doesn't really make sense to create your own installer builder... but for ideas on how to distribute Java apps, see ,stackoverflow.com/questions/80105 "				
+1 for pointing out there's no such API and that the q is somewhat ambiguous.				
To Stephen C Thanks for your suggestions. I will start with open-source products.	open-source			
"Thanks for your reply, if you have time can answer my second question, pls see the II. part."	II			
"In practice only instances of ,concrete, classes are created at run-time. In contrast, interfaces are used by the compiler to perform static type-checking. Therefore the compiler detects if you try to call a hidden method."	concrete			
Because of my lack of knowledge I can't imagine how it is used in the reality.	reality			
"Thanks for your reply, if you have time can you answer my second question, pls see the II. part."	II			
"Hello Vance, I understood what happens when we are using : List<String> myList = new LinkedList<String>(); It is just assigning an typed reference (LinkedList) to a similar reference List<String>. Similar because they are using the some interface.In shortm, it is about assigning same typed references to each other Thanks for your time and effort."	List<String>			
but addDependingJob just ensures that one is executed after another while ChainReducer is used to pass one's output directly to another's input so that disk usage is reduced.	addDependingJob			
It worked but now i get a JSON response in stb how do i get the link from it?	it			
"I got to get the uploading working (so I think so) and the link to upload I used (which provided me with no error) was ,api.imgur.com/2/upload.xml, and ,imgur.com/api/upload.xml, but that was with a key that I found, the problem was I also am having trouble parsing the response to get the uploaded link."	uploading			
Ah yeah I've tried it with a key that I found somewhere else and it worked.				
Do you know how to upload images using version 3 with java?	java			
"I don't know Java, sorry. I am just vaguely familiar with the API after looking at it for the past few days. It's a shame that Imgur themselves don't have code examples anymore"	API			
"It is not a String. ,JSON, refers to ,groovyx.net.http.ContentType.JSON,. Please refer ,github.com/jgritman/httpbuilder/blob/master/src/main/java , To aamir"	aamir			
wouldn't divide by 1000 be good enough?				
"No, because I have seen some results and over google's distance matrix api documentation that they return distance values in ""Kms""  example link here: [link][,maps.googleapis.com/maps/api/distancematrix "	I			
So it will all go wrong if at times The API returns distance already in Kms and I divide or multiply it by any figure (say 1000) as you suggested. I find it not the solution.	API			
"The documentation ,developers.google.com/maps/documentation/distance-matrix/intro, says that ""this unit system setting only affects the text displayed within distance fields. The distance fields also contain values which are always expressed in meters."""				
Understood. Thanks	Thanks			
This does no longer seem to be the case as i get value 0 returned when the distance is 1 meter	This			
"To assylias: Fixed, thanks for pointing out."				
what is the Jira version?	Jira			
Updated my post with the JIRA version. I ended up using the REST API and got it working. It would still be good to know if this can be done with the JRJC lib.	REST			
"getting following error after following steps mentioned by you ,Caused by: com.atlassian.jira.rest.client.RestClientException: Issue type is a sub-task but parent issue key or id not specified., . How can I get the fromIssueKey without creating the newIssue? since after setting issueType as sub-task it asks for parent key but this field is not there in Issue interface."	issueType			
"For an existing subtask, I was able to get the magic ,jira_subtask_link, issue link to make the existing subtask appear under a different parent. However, it didn't remove the subtask from the current parent. I don't see how to get the id for these magic issue links. Any ideas?"				
"They don't have any checks, you can create circular parent-child relations...     LinkIssuesInput linkIssuesInput = new LinkIssuesInput( ""1"", ""2"", ""jira_subtask_link"");        LinkIssuesInput linkIssuesInput = new LinkIssuesInput( ""2"", ""1"", ""jira_subtask_link"");"				
"Thanks a lot.. Made my day.. One last question.. What to do with  ""GlossSeeAlso"": [""GML"", ""XML""] which is having [] brackets?"				
"You can define that field as a list of strings, or whatever you're want to store in it."				
Sorry to interrupt you again.. Can you please give an example? Your help would be much appreciated.				
OK you've convinced me of the futility of returning boolean.				
Corollary: What would you do in a method that performs the D in CRUD ? It doesn't make sense to return the PK anymore. Would you return a void instead ?	D			
To Vinegar That makes total sense!	That			
Wow.  The more I learn about Java the more I like C#.	Java			
"possible duplicate of ,Backslash problem with String.replaceAll"	String.replaceAll			
Edited To CommonsWare	CommonsWare			
"Well, it is not 1 January 2016. Where I am, it is 6 October 2016. Hence, you will not get ,2016-01-01 00:00:00,, unless you changed your device/emulator to set the date to 1 January 2016. And the ,00:00:00, part will vary depending on the time that you execute the code."				
"Of course , That is just for reference"	That			
"Note time when you call the function, then make the difference when the function is finished. No need for a API for this"	function			
"for very, very simple stuff, stuff, this can work great, I agree. Not so great for compicated software."	I			
"What is ""very, very simple stuff, stuff""?"	stuff			
"I thought this depended on your Operating System. I seem to remember that the windows clock only has a resolution of 5 milliseconds.  I know that's small, but for something that you're trying to tune to be as fast as possible it could be an issue...."	that's			
"Interesting stuff.  I found the second question earlier, but not the first.  My intent was to find out more about my specific case, but it's definitely good general info.  +1."	first			
"why do some OO languages not even have the equivalent of Java's ,class,?  In a clean OO design, the only thing that matter is the abstraction.  Concrete and abstract Java classes are implementation details: people use them because they seek to avoid ""code reuse"" (not realizing that they can achieve what they think they need to achieve extending Java classes using, say, delegation and composition). Implementation details do ,not, exist at the OOA/OOD level. In addition to that, Java interfaces allows multiple inheritance, which matters when doing an OOA/OOD to OOP translation."	Java			
"Btw a question like this: ,stackoverflow.com/questions/90851 , just shows how clueless most answerers and upvoters are on SO.  Take SO with a huge grain of salt, for it is not the stronghold of OO-savvy developers ;)"	stackoverflow.com/questions/90851			
"Although a very good reason, it doesn't apply to the OP's example. Stellent isn't built for 3rd party implemenations."	OP's			
"Well, in this case it would be 3rd party integrations ( the client using the API )  but that's a valid point ."	API			
+1 - DirectX would be another example (even if this doesn't apply directly to the OP's question)				
JFreeChart is quite easy to use.	JFreeChart			
do we need to purchase any licence for that? or is it free?	that			
"To Mandar Nothing on the site seems to say anything about buying, and it's hosted on SourceForge, so I'm gonna assume it's free."	buying			
"""It is distributed under the terms of the GNU Lesser General Public Licence"": ,gnu.org/licenses/lgpl.html"	Licence			
"How to get a month old data? ,filters[date]=01-05-2020, is not working"				
To ErBharathRam did you get a solution for this?	this			
"To SuryansuDash not from data.gov.in but I managed to scrape data from ,Central Control Room for Air Quality Management,.You can get source code for it on my github ,page"				
To ErBharathRam Thanks a lot! That was immensely helpful	lotThat			
"To ErBharathRam Just a query, how do I use your scripts to scrape data between 2 specific dates?"				
"I like Option 3,  but with the addition of your other classes,  but i lean towards consistency.  How would you be planning to return the specific information that is contained with the child classes?"	Option			
"Do you mean that for the basic, return option 1, and for the extra, return option 2?"				
"We don't know exact context. If you create API you should clearly understand what you should get as an result. For example, if you have some UI and you would like to fill some table with columns ""id"", ""name"", ""description"", ""price"", ""stock"" and this is only one thing for which you need API endpoint I would suggest option 3 with endpoint ,/cars/1,, but JSON: ,{     id: 1,     name: ""Honda Civic"",     description: ""The best car of Honda"",     price: 25000,     stock: 24 },. About null value, there is a rule ""Don't show more information than needed"" or at least show ,{}, instead of null."				
"personally, I maintain API request params also in the response. So that front end can decide and parse response accordingly. like   ,{ params: { info: true, extraInfo: false }, data: { id: 1, name: ""Honda Civic"", desc: ""blah blah"", meta: {price: 25000, stock: 24 }}}"				
"I like that option too. However, in terms of maintainability, if some day we want to add the parameter info=extraPrices, we can't extend from CarExtra, as in JPA is not that easy. We would have to create a CarExtraPrices that extends from Car again, duplicating the extra fields already present in CarExtra."	CarExtraPrices			
can one use lucene to search the world wide web ?	lucene			
"Hi Rajesh, there are some limitations on sending SMS to Indian mobile devices at the moment. Please see ,twilio.com/help/faq/sms , for more information."	SMS			
"Hello To philnash, you are right but this problem is not occurred behalf of this.If any Indian number is enabled DND (Do Not Disturb) mode then this problem will occur which is mentioned in ,twilio.com/help/faq/sms , ."				
"Hello Louis Lewis, there is geographic access to india also enabled .."	Lewis			
"Hi Rajesh, best I can think of, is for you to perhaps contact me and get the to number to me, I will then quickly write a test app of my own and see if I can send an sms to the same number. Perhaps via chat?"	chat			
Are you always appending data in the same way? Then consider just reading the file line by line and append your line in a 'XML-agnostic' way; as long as the result is still valid XML.	'XML-agnostic'			
Are you to able to instead append the data to a plain file and convert the whole file to XML later? Or maybe convert it in batches? Trying to update XML continuously seems like making life unnecessarily difficult for yourself! ;-)				
"I suppose your question relates to client-side processing (android) and not server-side processing, correct?"				
"To The Nail, I am currently appending the data in the same way every time I edit the file."	Nail			
To DNA I like your suggestion.  I will be using the data later with my server and could process it into XML at that time.  If all else fails that is probably the route I will take.				
I don't necessarily need to save to the file on every tick.  As long as there isn't a greater chance of loosing the data while it is waiting to be written.  I guess I should mention that the amount of data could get into the GB range so saving when exiting the app might be a problem.				
"To Ferrari692 Yeah, and you shouldn't keep a DOM object of that size in memory as well. Consider using other methods than parsing a whole file of that size, either chunks or non-XML."	Yeah			
I wouldn't have an issue bundling the info and using larger intervals.  I will look into using SAX.				
Interesting.  I will have to try that out.				
"It will be a two step process. Step 1 is to convert the Excel Sheet into data you can use and Step 2 will be loading that data into the database. As a general rule of thumb, you should define your database tables ahead of time instead of dynamically generating them."				
"Hello To Robi, thanks for your answer, sorry, my bad, i always meant to say order increment id cause its the only one i use. Edited my question"	question			
"I don't know how to see whether or not the program is cleaning up correctly, but I have looked at Activity Monitor, and I have seen that my program no longer shows up there when I close it. I would like to know if I'm not writing something correctly and causing a memory leak."	Activity			
"You could use something like a ,shutdown hook,to check to see if the JVM is been exited or not"	shutdown			
Are the ports that you're connecting to correct? Does this work for other commands? Is there a way you can tail the server log to confirm that mongo is receiving and responding to the query correctly?	mongo			
free or paid services?	services			
"Preferably free, but if it has to be paid, so be it."	it			
Are you consistently getting this 503 error?	error			
"I get 503 also if, for example, pass a ""sources"" object ... empty! So probably there is something else missing."	sources			
Can you include a job id of a failed job?	job			
"You code seems totally legit, I use almost the same in my case. What I would recommend to investigate is first to try to also set the ""writeDisposition"" property, which I set in my code. It's supposed to be optional but you never know.   If that does not change anything, try with a more simple schema, only one columns. Maybe BQ is having a hard time parsing your schema."	writeDisposition			
"You are calling ,setContent(), twice. The second call replaces the content that was set in the first call."	setContent()			
"then, how can i call message.setContent() once for sending mail attachment and text message ?"	message.setContent()			
"sorry for late reply, but can you can tell me what exactly missing in my code to attach document & a message, i am not an expert in java ..!"	java			
"i have modified program and i am using MimeMultipart(""mixed""), but i am getting mail attachment  (not file), attached mail contains file attachment, cant we send file attachment+text ?"	MimeMultipart(mixed)			
"To mateen Did you follow the instructions? Did you add two parts to the multipart, one being the body and the other the attachment?"				
"i have found solution for this ,codejava.net/java-ee/javamail , & thanks by the way"				
"could you plz provide a sample code, how to use it?"	it			
"Don't now if this will be of any help to you. I wrote this ,github.com/spacifici/simple-rest-client,, is a REST client library that permits to use REST services by writing their interface (literally a java interface). Feel free to use it."	github.com/spacifici/simple-rest-client			
"I also believe that to be the best way. However, I am concerned about the excessive number of Options classes (and its builders) we will end up having to write and maintain. We are wondering if the benefits to the users of the sdk compensate the extra work and complexity (by considerably increasing the number of classes)."	sdk			
"check this answer ,stackoverflow.com/questions/13894006 "				
"Maybe it's cuz a bad key hash, but why don't you try an easier approach? like use the ,UiLifecycleHelper, with the ,LoginButton,?"	UiLifecycleHelper			
"Since the error now tells you the exact key hash that's not matching, why not put ""1gcqjsUopNOpDvlaJ6a43CIaakA"" into your app settings?"	1gcqjsUopNOpDvlaJ6a43CIaakA			
"Just a note to people Googling the Facebook error 'Key hash ** does not match any stored key hashes', the error log gives you the hash to paste into your Facebook developer console. But for some reason, the Logcat output replaces + with - and / with _. So change these characters back and add into your FB dev console, it should work."				
"I don't know of any API, but are you just wanting to compare pixel colours for each pixel and obtain an average difference?"				
comparing two images by using their pixel and getting similarity percentage between them				
"using this method can do the work in some cases, however, in most cases it is not enough. Images similarity is not measured by pixel to pixel comparison; it should involve pattern comparison, shadow comparison, contrast comparison, etc'. I wish life were that simple :-)"	comparison			
"small improvement : difference write as ""jpeg"" is not so good to find a pixel wrote green, use ""png"" is better."	png			
"Java uses C synthax so if java fails, C fails."	Java			
Invoke a C compiler and see if it returned 0 exit code? :)	C			
To Shark: that's deep �?it was never the case.	case			
To VladLazarenko I want to display the errors to the user.. If I use a compiler then how can I do that				
classic coder comedy right here :)))	coder			
"I'm looking at this repo ,github.com/neo4j/java-rest-binding/releases, but I already pulled the latest version. If I look into the source code of the dependency, the class Uniqueness is the same (with deprecated)"	Uniqueness			
"Thank you Sam35 for your answer. It seems that your answer is for SP2013, _api/contextinfo is for SP2013, isn't it? I am using SP2010. Not sure if your answer will work for SP2010."	SP2010			
also my SP site doesn't have _vti_bin/client.svc api.	SP			
you can use _vti_bin/listdata.svc	_vti_bin/listdata.svc			
To Jens were you able to resolve the issue? I am having the same problem	issue			
To Ranjan: we currently use XDocReport for odt / docx processing.	XDocReport			
"Many low level calls, just call the underlying C method and given more developers knew C at the time it made migration easier."				
